EXTRACTION REPORT
==================================================
Total pages extracted : 775
Total chapters found  : 106

Ch.   Title                                              Pages           Words
88    පුලස්තිපුරය කරවීම                                  670–677         2470
89    අභි ්ක මංගල්‍යය සහ උපසම්පදා                        678–683         1809
90    විජයබාහු රජු ග් අැවෑම සහ යාපවේ, කුරැණෑගල           684–692         2565
91    පරාක්‍රමබාහු රජු සහ ජයවර්ධනපුර කා්ට් ට්            693–695         783
92    ජයබාහු රජු අැතුළු රාජ පරම්පරාව හා                  696–699         1055
93    මායාදුන් න් සහ රාජසිංහ රජුන් ග් පුවත               700             313
94    පළමුවන විමලධර්මසූරිය රජු සහ ශාසන                   701–703         822
95    ස්නාරත්න රජතුමා සහ පරංගි අාක්‍රමණය                 704–707         1121
96    දවන රාජසිංහ රාජ විස්තරය                            708–711         1181
97    විමලධර්මසූරිය සහ න ර්න්ද්‍රසිංහ රාජ්‍ය සමය         712–716         1435
98    ශ්‍රී විජය රාජසිංහ රාජ්‍ය කාලය                     717–723         2061
99    කීර්ති ශ්‍රී රාජසිංහ රාජාභි ්කය                    724–729         1785
89    ම ස් ලබන ලද යසස් අැති ඒ ද දනා ද (යුවරජවරැ) දළදා මහ 730–737         2446
100   කීර්ති ශ්‍රී රාජසිංහ රජු සහ ශාසන පුනර්ජීවනය        738–756         5937
101   ශ්‍රී රාජාධිරාජසිංහ හා ශ්‍රී වික්‍රමරාජසිංහ රාජ්‍ය 757–775         1636
